"User Name","Question 1 Answer Provided","Question 2 Answer Provided","Question 3 Answer Provided","Question 4 Answer Provided","Question 5 Answer Provided","Question 6 Answer Provided","Question 7 Answer Provided","Question 8 Answer Provided","Question 9 Answer Provided","Question 10 Answer Provided","Question 11 Answer Provided","Question 12 Answer Provided","Question 13 Answer Provided","Question 14 Answer Provided","Question 15 Answer Provided","Question 16 Answer Provided","Question 17 Answer Provided","Question 18 Answer Provided","Question 19 Answer Provided","Question 20 Answer Provided","Question 21 Answer Provided","Question 22 Answer Provided","Question 23 Answer Provided","Question 24 Answer Provided","Question 25 Answer Provided","Question 26 Answer Provided","Question 27 Answer Provided","Question 28 Answer Provided","Question 29 Answer Provided","Question 30 Answer Provided","Question 31 Answer Provided","Question 32 Answer Provided","Question 33 Answer Provided","Question 34 Answer Provided","Question 35 Answer Provided","Question 36 Answer Provided","Question 37 Answer Provided","Question 38 Answer Provided","Question 39 Answer Provided","Question 40 Answer Provided","Question 41 Answer Provided","Question 42 Answer Provided","Question 43 Answer Provided","Question 44 Answer Provided","Question 45 Answer Provided","Question 46 Answer Provided","Question 47 Answer Provided","Question 48 Answer Provided","Question 49 Answer Provided","Question 50 Answer Provided","Question 51 Answer Provided","Question 52 Answer Provided","Question 53 Answer Provided","Question 54 Answer Provided","Question 55 Answer Provided","Question 56 Answer Provided","Question 57 Answer Provided","Question 58 Answer Provided","Question 59 Answer Provided","Question 60 Answer Provided","Question 61 Answer Provided","Question 62 Answer Provided","Question 63 Answer Provided","Question 64 Answer Provided","Question 65 Answer Provided","Question 66 Answer Provided","Question 67 Answer Provided","Question 68 Answer Provided","Question 69 Answer Provided",Timer
Ray282,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,"Biased, Challenging, Cut Throat, Dictatorial, Greed, Micromanaging, Results-based, Unforgiving, Untrustworthy",257
lbrookhart,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,"Biased, Busy, Cut Throat, Dictatorial, Discriminatory, Disengaged, Greed, Harassment, Hostile, Micromanaging, Negative, No Values, Outdated, Places Blame, Poor Leadership, Proud/Pride, Results At All Cost, Rigid, Stressful, Toxic, Unethical, Unforgiving, Unproductive, Unsupportive, Untrustworthy",544
Ayden769,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,"Boring, Challenging, Disengaged, Greed, Negative, No Values, Poor Leadership, Stressful, Toxic, Unproductive, Unsupportive",604
michela,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,"Biased, Boring, Busy, Demanding, Dictatorial, Overwhelming, Performance-based, Results-based, Rigid, Unsupportive",681
alliemcgee,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,"Accepting, Accountable, Collaborative, High Performance, Learning, Values-based",661
NANDERSEN159,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,"Biased, Boring, Busy, Casual, Challenging, Curious, Cut Throat, Demanding, Dictatorial, Disengaged, Diverse, Greed, Harassment, High Performance, Hostile, Integrity, Learning, Micromanaging, Negative, No Values, Open, Outdated, Overwhelming, Places Blame, Political, Poor Leadership, Progressive, Proud/Pride, Purpose-driven, Results At All Cost, Results-based, Rigid, Siloed, Stressful, Toxic, Transparent, Unethical, Unforgiving, Unscrupulous, Untrustworthy, Vulnerability, Warm",810
Ggtorres,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,"Busy, Competitive, Cut Throat, Demanding, Fast-paced, Micromanaging, Overwhelming, Performance-based, Poor Leadership, Purpose-driven, Results At All Cost, Rigid, Stressful, Toxic, Unforgiving, Untrustworthy",733
hannahfdye,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,"Biased, Busy, Challenging, Demanding, Fast-paced, Negative, Overwhelming, Poor Leadership, Results-based, Stressful, Unsupportive, Untrustworthy",760
skylarfarrar,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,"Biased, Challenging, Cut Throat, Demanding, Fast-paced, Greed, Harassment, Hostile, Inconsistent, Negative, Overwhelming, Performance-based, Places Blame, Poor Leadership, Rigid, Toxic, Unethical, Unsupportive, Untrustworthy",853
janedeguire,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,"Accountable, Biased, Boring, Busy, Challenging, Common Purpose, Competitive, Connected, Demanding, Fast-paced, Learning, Micromanaging, Negative, Overwhelming, Poor Leadership, Rigid, Stressful, Toxic, Unsupportive",774
